"Регулировка мощности";"Вес";"Уровень шума";"Тип инфракрасного обогревателя";"Уровни мощности";"Защитные функции";"Установка тепловой завесы";"Изображение";"Термостат";"Количество секций";"Максимальный воздухообмен";"Наименование";"Габариты (ШхВхГ)";"Тип";"Напряжение";"Поворот корпуса";"Удобство использования";"Потребляемая энергия";"Тип нагревательного элемента";"Вентиляция без нагрева";"Дополнительная информация";"Каминный эффект";"Ионизатор";"Цена";"Управление";"Пылевой фильтр";"Увлажнитель";"Варианты монтажа";"Площадь обогрева";"Максимальный нагрев поверхности";"Вентилятор";"Мощность обогрева";"Таймер"
"есть";7.0;0;"";"3000/1500 Вт";"отключение при перегреве";"горизонтальная, макс. высота установки 2.20м";"aeroheaths-c3-ew86.jpg";"";"";"480 куб.м/ч";"Aeroheat HS C3 EW86";"86x18x15 см";"тепловая завеса";"220/230 В";"";"";0;"";"есть";"";"";"";0;"";"";"";"настенный";0;"";"есть";0;""
"есть";16.0;0;"";"9000/6000 Вт";"отключение при перегреве";"макс. высота установки 2.50 м";"aeroheaths-r9-er100.jpg";"есть";"";"1200 куб.м/ч";"Aeroheat HS R9 ER100";"100x21x20.5 см";"тепловая завеса";"380/400 В";"";"";0;"";"есть";"";"";"";9280;"пульт ДУ, регулировка температуры";"";"";"настенный";0;"";"есть";0;"нет"
"есть";7.0;0;"";"4000/2000 Вт";"отключение при перегреве";"горизонтальная, макс. высота установки 2.20м";"aeroheaths-s4-ew86.jpg";"";"";"480 куб.м/ч";"Aeroheat HS С4 EW86";"86x18x15 см";"тепловая завеса";"220/230 В";"";"";0;"";"есть";"";"";"";4450;"механическое";"";"";"настенный";0;"";"есть";0;"нет"
"есть";13.0;0;"";"12000/9000 Вт";"отключение при перегреве";"";"aeroheathv-c12-te2.jpg";"есть";"";"760 куб.м/ч";"Aeroheat HV C12 TE2";"27.8x38.2x44 см";"тепловая пушка";"380/400 В";"";"ручка";0;"";"есть";"";"";"";7200;"механическое";"";"";"напольный";0;"";"есть";0;"нет"
"есть";7.0;0;"";"3000/1500 Вт";"отключение при перегреве";"";"aeroheathv-c3-te1.jpg";"есть";"";"300 куб.м/ч";"Aeroheat HV C3 TE1";"25.5x31x36.5 см";"тепловая пушка";"220/230 В";"";"ручка";0;"";"есть";"";"";"";2900;"механическое";"";"";"напольный";0;"";"есть";0;"нет"
"есть";7.0;0;"";"5000/2500 Вт";"отключение при перегреве";"";"aeroheathv-c5-te1.jpg";"есть";"";"400 куб.м/ч";"Aeroheat HV C5 TE1";"25.5x31x36.5 см";"тепловая пушка";"220/230 В";"";"ручка";0;"";"есть";"";"";"";3999;"механическое";"";"";"напольный";0;"";"есть";0;"нет"
"есть";11.0;0;"";"6000/3000 Вт";"отключение при перегреве";"";"aeroheathv-c6-te2.jpg";"есть";"";"680 куб.м/ч";"Aeroheat HV C6 TE2";"27.8x38.2x44 см";"тепловая пушка";"380/400 В";"";"ручка";0;"";"есть";"";"";"";4759;"механическое";"";"";"напольный";0;"";"есть";0;"нет"
"есть";13.0;0;"";"9000/6000 Вт";"отключение при перегреве";"";"aeroheathv-c9-te2.jpg";"есть";"";"720 куб.м/ч";"Aeroheat HV C9 TE2";"27.8x38.2x44 см";"тепловая пушка";"380/400 В";"";"ручка";0;"";"есть";"";"";"";6000;"механическое";"";"";"напольный";0;"";"есть";0;"нет"
"есть";6.0;0;"";"3000/1500 Вт";"отключение при перегреве";"";"aeroheathv-p3-e1.jpg";"нет";"";"";"Aeroheat HV P3 E1";"26x30x25.6 см";"тепловая пушка";"220/230 В";"";"ручка";0;"ТЭН";"есть";"";"";"";2390;"механическое";"";"";"напольный";0;"";"есть";0;"нет"
"есть";6.8;0;"";"5000/2500 Вт";"отключение при перегреве";"";"aeroheathv-r5-te1.jpg";"есть";"";"400 куб.м/ч";"Aeroheat HV R5 TE1";"28x34.5x23 см";"тепловая пушка";"220/230 В";"";"ручка";0;"";"есть";"";"";"";3900;"механическое, регулировка температуры";"";"";"напольный";0;"";"есть";0;"нет"
"Aeronik"
"есть";0.0;0;"";"";"отключение при перегреве";"высота установки 2.30 - 3 м";"aeronikac-08-3n-1.jpg";"нет";"";"850 куб.м/ч";"Aeronik AC 08-3Н-1";"80x22.3x26.8 см";"тепловая завеса";"220/230 В";"";"";0;"";"";"";"";"";4190;"пульт ДУ";"";"";"настенный";0;"";"есть";3000;"нет"
